 #    i     x              ref(x)   imf(x)    k   th(k)    reF(k)    imF(k)    reF-1(x)   imF-1(x)
     66  -17.422       303.5217       0.000000        10.37      0.1860811E-01  0.1886453E-01 -0.1885193E-15   303.5217      0.9894594E-14
     67  -17.383       302.1622       0.000000        10.52     -0.1805679E-01  0.1831327E-01  0.1506831E-16   302.1622     -0.2102512E-13
     68  -17.344       300.8057       0.000000        10.68      0.1752962E-01  0.1778616E-01 -0.6430386E-16   300.8057      0.7493469E-14
     69  -17.305       299.4522       0.000000        10.84     -0.1702519E-01  0.1728180E-01 -0.6364805E-16   299.4522     -0.2195520E-13
     70  -17.266       298.1018       0.000000        11.00      0.1654223E-01  0.1679891E-01 -0.1247790E-16   298.1018     -0.6119836E-14
     71  -17.227       296.7545       0.000000        11.15     -0.1607954E-01  0.1633628E-01 -0.2215114E-15   296.7545      0.3749686E-15
     72  -17.188       295.4102       0.000000        11.31      0.1563599E-01  0.1589280E-01 -0.2868458E-16   295.4102      0.2377292E-13
     73  -17.148       294.0689       0.000000        11.47     -0.1521054E-01  0.1546742E-01 -0.1055441E-15   294.0689     -0.3372571E-14
     74  -17.109       292.7307       0.000000        11.62      0.1480222E-01  0.1505917E-01 -0.5155486E-16   292.7307      0.2150789E-14
     75  -17.070       291.3956       0.000000        11.78     -0.1441012E-01  0.1466715E-01  0.1649900E-15   291.3956     -0.1766669E-13
     76  -17.031       290.0635       0.000000        11.94      0.1403340E-01  0.1429051E-01  0.1961129E-16   290.0635      0.9117707E-14
     77  -16.992       288.7344       0.000000        12.10     -0.1367127E-01  0.1392844E-01  0.1867092E-15   288.7344     -0.1644786E-14
     78  -16.953       287.4084       0.000000        12.25      0.1332297E-01  0.1358022E-01  0.9507167E-16   287.4084     -0.1125489E-13
     79  -16.914       286.0855       0.000000        12.41     -0.1298781E-01  0.1324514E-01 -0.5484832E-15   286.0855      0.8680226E-14
     80  -16.875       284.7656       0.000000        12.57      0.1266515E-01  0.1292255E-01  0.1525005E-16   284.7656      0.1568244E-13
     81  -16.836       283.4488       0.000000        12.72     -0.1235436E-01  0.1261184E-01 -0.3823780E-15   283.4488      0.6652602E-14
     82  -16.797       282.1350       0.000000        12.88      0.1205487E-01  0.1231243E-01  0.7414128E-16   282.1350      0.2402272E-13
     83  -16.758       280.8243       0.000000        13.04     -0.1176614E-01  0.1202379E-01 -0.2685973E-15   280.8243     -0.1775636E-13
     84  -16.719       279.5166       0.000000        13.19      0.1148766E-01  0.1174539E-01  0.2974325E-16   279.5166     -0.2607744E-13
     85  -16.680       278.2120       0.000000        13.35     -0.1121895E-01  0.1147676E-01 -0.2216301E-15   278.2120     -0.5274096E-14
     86  -16.641       276.9104       0.000000        13.51      0.1095957E-01  0.1121746E-01 -0.4048323E-16   276.9104      0.1160076E-13
     87  -16.602       275.6119       0.000000        13.67     -0.1070907E-01  0.1096705E-01  0.1336225E-15   275.6119     -0.2220446E-15
     88  -16.562       274.3164       0.000000        13.82      0.1046706E-01  0.1072513E-01  0.2044464E-16   274.3164      0.6563925E-14
     89  -16.523       273.0240       0.000000        13.98     -0.1023317E-01  0.1049132E-01  0.7196111E-16   273.0240     -0.3233256E-14
     90  -16.484       271.7346       0.000000        14.14      0.1000703E-01  0.1026527E-01  0.3718109E-17   271.7346      0.1226796E-13
     91  -16.445       270.4483       0.000000        14.29     -0.9788304E-02  0.1004663E-01  0.2621048E-15   270.4483     -0.1977558E-13
     92  -16.406       269.1650       0.000000        14.45      0.9576671E-02  0.9835088E-02  0.1198320E-15   269.1650      0.1236430E-13
     93  -16.367       267.8848       0.000000        14.61     -0.9371829E-02  0.9630337E-02  0.1789465E-15   267.8848     -0.4374440E-13
     94  -16.328       266.6077       0.000000        14.77      0.9173489E-02  0.9432089E-02 -0.4488178E-16   266.6077      0.9186559E-14
     95  -16.289       265.3336       0.000000        14.92     -0.8981379E-02  0.9240072E-02  0.2132045E-15   265.3336      0.3140570E-13
     96  -16.250       264.0625       0.000000        15.08      0.8795242E-02  0.9054028E-02   0.000000       264.0625      0.1256074E-14
